Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
697,30,RM,50.0,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1Story,5,7,1921,1950,Gable,CompShg,Wd Sdng,Wd Shng,0.0,TA,TA,CBlock,TA,TA,No,LwQ,616,Unf,0,616,GasA,Gd,Y,SBrkr,0,616,0,1,0,2,1,TA,Typ,0,Detchd,Unf,1,TA,TA,Y,0,0,6,2006,WD,Normal,89000
800,50,RL,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,7,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,252.0,TA,TA,BrkTil,Gd,TA,No,ALQ,569,Unf,162,731,GasA,Ex,Y,SBrkr,787,1768,1,1,1,3,1,Gd,Typ,2,Detchd,Unf,1,TA,TA,Y,0,0,6,2007,WD,Normal,175000
833,60,RL,44.0,9548,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,223.0,Gd,TA,PConc,Gd,TA,No,GLQ,483,Unf,458,941,GasA,Ex,Y,SBrkr,888,1829,1,2,1,3,1,Gd,Typ,1,Attchd,RFn,2,TA,TA,Y,192,39,1,2010,WD,Normal,237000
154,20,RL,70.01578947368421,13500,Pave,Reg,Lvl,AllPub,Inside,Gtl,ClearCr,Norm,Norm,1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,429,ALQ,93,1602,GasA,Gd,Y,SBrkr,0,1252,1,1,0,1,1,TA,Typ,1,Attchd,RFn,2,TA,TA,Y,409,0,3,2008,WD,Normal,235000
1319,20,RL,70.01578947368421,14781,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Hip,CompShg,VinylSd,VinylSd,178.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0,Unf,1753,1753,GasA,Ex,Y,SBrkr,0,1787,0,2,0,3,1,Gd,Typ,1,Attchd,RFn,3,TA,TA,Y,198,150,8,2006,WD,Normal,275000
493,60,RL,105.0,15578,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,728,728,GasA,Gd,Y,SBrkr,728,1456,0,2,1,3,1,TA,Typ,0,Attchd,RFn,2,TA,TA,Y,0,0,5,2006,New,Partial,172785
1069,160,RM,42.0,3964,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,6,4,1973,1973,Gable,CompShg,CemntBd,CmentBd,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,837,Unf,105,942,GasA,Gd,Y,SBrkr,1230,2521,1,2,1,5,1,TA,Maj1,1,Attchd,Fin,2,TA,TA,Y,728,20,6,2006,WD,Normal,151400
396,20,RL,68.0,9571,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,739,Unf,405,1144,GasA,TA,Y,SBrkr,0,1144,1,1,0,3,1,TA,Typ,0,Attchd,Unf,1,TA,TA,Y,44,0,6,2010,WD,Normal,129000
398,60,RL,69.0,7590,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosN,Norm,1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,288.0,TA,TA,CBlock,TA,TA,No,ALQ,540,Unf,324,864,GasA,TA,Y,SBrkr,936,1812,0,2,0,4,1,TA,Typ,1,Attchd,RFn,1,TA,TA,Y,0,168,7,2007,WD,Normal,169500
1358,20,RL,70.01578947368421,12537,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,GLQ,734,Unf,344,1078,GasA,Ex,Y,SBrkr,0,1078,1,1,1,3,1,TA,Typ,1,Attchd,Fin,2,TA,TA,Y,0,0,4,2010,WD,Normal,149900
127,120,RL,70.01578947368421,4928,Pave,IR1,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,0.0,TA,TA,CBlock,Gd,TA,No,ALQ,120,Unf,958,1078,GasA,TA,Y,SBrkr,0,958,0,2,0,2,1,TA,Typ,1,Attchd,RFn,2,TA,TA,Y,0,205,2,2007,WD,Normal,128000
929,20,RL,70.01578947368421,11838,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2001,Hip,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1753,1753,GasA,Ex,Y,SBrkr,0,1788,0,2,0,3,1,Ex,Typ,1,Attchd,RFn,2,TA,TA,Y,202,151,6,2009,WD,Normal,236500
793,60,RL,92.0,9920,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,MetalSd,MetalSd,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,862,Unf,255,1117,GasA,Ex,Y,SBrkr,886,2013,1,2,1,3,1,TA,Typ,1,Attchd,Unf,2,TA,TA,Y,180,130,6,2007,WD,Normal,269790
1192,160,FV,24.0,2645,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,456.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,776,776,GasA,Ex,Y,SBrkr,677,1441,0,2,1,2,1,Gd,Typ,0,Detchd,Unf,2,TA,TA,Y,206,0,11,2007,WD,Normal,174000
1124,20,RL,50.0,9405,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,9,1947,2008,Hip,CompShg,VinylSd,VinylSd,0.0,TA,Ex,CBlock,TA,TA,No,Unf,0,Unf,698,698,GasA,Ex,Y,SBrkr,0,698,0,1,0,2,1,TA,Typ,0,,,0,,,Y,0,200,6,2009,WD,Normal,118000
1094,20,RL,71.0,9230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,8,1965,1998,Hip,CompShg,MetalSd,MetalSd,166.0,TA,TA,CBlock,TA,TA,Mn,GLQ,661,Unf,203,864,GasA,Gd,Y,SBrkr,0,1200,1,1,1,1,1,Gd,Typ,0,Detchd,Unf,2,TA,TA,Y,0,64,10,2006,WD,Normal,146000
1416,120,RL,51.0,3635,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,130.0,Gd,TA,PConc,Gd,TA,No,ALQ,988,Unf,398,1386,GasA,Ex,Y,SBrkr,0,1569,0,2,0,1,1,Gd,Typ,1,Attchd,RFn,3,TA,TA,Y,143,20,5,2009,WD,Normal,175900
1063,190,RM,85.0,13600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,5,1900,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,662,662,GasA,TA,N,SBrkr,915,2337,0,2,0,5,2,TA,Min2,0,Detchd,Unf,2,TA,TA,Y,0,57,9,2007,WD,Normal,90000
1383,70,RM,60.0,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1920,1950,Hip,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,596,596,GasA,Ex,Y,SBrkr,764,1762,1,1,1,4,1,Gd,Typ,0,Detchd,Unf,2,TA,TA,N,36,0,10,2006,WD,Normal,157000
720,20,RL,69.0,9920,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1969,1969,Gable,CompShg,HdBoard,Plywood,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,523,Unf,448,971,GasA,TA,Y,SBrkr,0,971,0,1,1,3,1,TA,Typ,1,Attchd,Unf,1,TA,TA,Y,0,0,5,2006,WD,Normal,128500
1407,85,RL,70.0,8445,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,SFoyer,5,7,1972,2007,Gable,CompShg,HdBoard,Wd Shng,0.0,TA,TA,CBlock,Gd,TA,Av,GLQ,656,Unf,112,768,GasA,TA,Y,SBrkr,0,768,1,1,0,2,1,TA,Typ,0,Detchd,Unf,2,TA,TA,Y,58,0,3,2009,WD,Normal,133000
133,20,RL,75.0,7388,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,2002,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,405,Unf,658,1063,GasA,Gd,Y,SBrkr,0,1327,1,1,0,3,1,Gd,Typ,0,Detchd,Unf,2,TA,TA,Y,0,0,7,2007,WD,Normal,150750
1329,50,RM,60.0,10440,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,7,1920,1950,Gable,CompShg,BrkFace,Wd Sdng,0.0,Gd,Gd,BrkTil,Gd,TA,No,LwQ,493,Unf,1017,1510,GasW,Ex,Y,SBrkr,1208,2792,0,2,0,5,1,TA,Mod,2,Detchd,Unf,2,Fa,TA,Y,0,547,6,2008,WD,Normal,256000
1366,60,FV,70.01578947368421,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533,Unf,281,814,GasA,Ex,Y,SBrkr,860,1674,1,2,1,3,1,Gd,Typ,0,Attchd,RFn,2,TA,TA,Y,0,96,1,2010,WD,Normal,216000
655,20,RL,91.0,10437,Pave,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,8,6,1995,1995,Hip,CompShg,MetalSd,MetalSd,660.0,Gd,Gd,PConc,Gd,TA,Gd,GLQ,1696,Unf,413,2109,GasA,Ex,Y,SBrkr,0,2113,1,2,1,2,1,Gd,Typ,1,Attchd,Fin,3,TA,TA,Y,236,46,8,2008,WD,Normal,350000
753,20,RL,79.0,9236,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,0.0,TA,Gd,PConc,Gd,TA,Gd,GLQ,1200,Unf,279,1479,GasA,Ex,Y,SBrkr,0,1494,1,2,0,3,1,Gd,Typ,0,Attchd,RFn,2,TA,TA,Y,168,27,7,2006,WD,Normal,217000
1209,20,RL,70.0,7763,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1962,1980,Gable,CompShg,MetalSd,MetalSd,0.0,TA,Gd,CBlock,TA,TA,No,Rec,504,BLQ,319,931,GasA,TA,Y,SBrkr,0,1283,1,1,0,3,1,TA,Typ,0,Detchd,Unf,2,TA,TA,Y,0,0,10,2008,WD,Normal,140000
1100,20,RL,82.0,11880,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,1Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,206.0,TA,TA,CBlock,Gd,TA,No,ALQ,704,Unf,567,1271,GasA,TA,Y,SBrkr,0,1601,0,2,0,3,1,TA,Typ,1,Attchd,RFn,2,TA,TA,Y,0,0,4,2009,COD,Abnorml,157000
75,50,RM,60.0,5790,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,0.0,Gd,Gd,CBlock,Fa,TA,No,Unf,0,Unf,840,840,GasA,Gd,N,SBrkr,765,1605,0,2,0,3,2,TA,Typ,0,Detchd,Unf,1,TA,TA,Y,0,0,5,2010,WD,Normal,107400
1442,120,RM,70.01578947368421,4426,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,147.0,Gd,TA,PConc,Gd,TA,Av,GLQ,697,Unf,151,848,GasA,Ex,Y,SBrkr,0,848,1,1,0,1,1,Gd,Typ,1,Attchd,RFn,2,TA,TA,Y,149,0,5,2008,WD,Normal,149300
729,90,RL,85.0,11475,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,95.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1584,1584,GasA,TA,Y,SBrkr,0,1776,1,2,0,4,2,TA,Typ,0,Detchd,Unf,3,TA,TA,Y,0,25,7,2009,COD,Abnorml,110000
617,60,RL,70.01578947368421,7861,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,457,Unf,326,783,GasA,Ex,Y,SBrkr,702,1509,1,2,1,3,1,Gd,Typ,1,Attchd,Fin,2,TA,TA,Y,100,75,6,2006,WD,Normal,183200
684,20,RL,90.0,11248,Pave,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,9,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,215.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1059,Unf,567,1626,GasA,Ex,Y,SBrkr,0,1668,1,2,0,3,1,Gd,Typ,1,Attchd,Fin,3,TA,TA,Y,257,45,7,2007,WD,Normal,285000
1078,20,RL,70.01578947368421,15870,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1969,1969,Gable,CompShg,VinylSd,Plywood,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,75,Rec,230,1096,GasA,Ex,Y,SBrkr,0,1096,1,1,0,3,1,TA,Typ,0,Attchd,Fin,1,TA,TA,Y,240,32,3,2006,WD,Abnorml,138800
